# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 4, 2011 2:31:01 AM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cy-kill "seed_rng 42"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
84	B+76.5	?	?	0	-	72	12.5	8.1	12.5	0	0	
85	B+87.5	?	?	1	-	60	11.9	7.1	12.1	0	0	
86	B+82.5	?	?	0	-	90	27.3	9.2	27.1	0	0	
87	B+86.5	?	?	1	-	64	17	7.3	17.1	0	0	
88	B+78.5	?	?	0	-	86	15.7	8.9	15.7	0	0	
89	B+86.5	?	?	1	-	68	16	7.7	15.9	0	0	
90	B+73.5	?	?	0	-	71	30.3	8	30.2	0	0	
91	B+87.5	?	?	1	-	70	16.5	7.8	16.5	0	0	
92	B+73.5	?	?	0	-	63	13.9	7.2	13.9	0	0	
93	B+87.5	?	?	1	-	68	15.6	7.5	15.6	0	0	
94	B+74.5	?	?	0	-	70	13.2	8	13.2	0	0	
95	B+87.5	?	?	1	-	68	43.5	7.9	43.5	0	0	
96	B+73.5	?	?	0	-	65	14.5	7.4	14.4	0	0	
97	B+87.5	?	?	1	-	62	20.4	7.3	20.4	0	0	
98	B+76.5	?	?	0	-	80	15.2	8.7	15.1	0	0	
99	B+87.5	?	?	1	-	70	16.9	8	16.8	0	0	
100	B+79.5	?	?	0	-	82	30.5	8.7	30.4	0	0	
101	B+87.5	?	?	1	-	64	25.8	7.4	25.8	0	0	
102	B+83.5	?	?	0	-	88	34.1	9.2	34	0	0	
103	B+87.5	?	?	1	-	64	26.3	7.4	26.2	0	0	
104	B+76.5	?	?	0	-	74	16	8.1	15.9	0	0	
105	B+86.5	?	?	1	-	70	29.5	8	29.5	0	0	
106	B+73.5	?	?	0	-	57	15.5	6.8	15.7	0	0	
107	B+87.5	?	?	1	-	64	17.5	7.5	17.5	0	0	
108	B+73.5	?	?	0	-	47	30.3	5.7	30.5	0	0	
109	B+87.5	?	?	1	-	64	43.4	7.6	43.4	0	0	
110	B+76.5	?	?	0	-	72	19.6	8.1	19.5	0	0	
111	B+87.5	?	?	1	-	68	37.8	7.8	37.6	0	0	
112	B+72.5	?	?	0	-	71	27.4	8	27.3	0	0	
113	B+87.5	?	?	1	-	66	33.2	7.7	33	0	0	
114	B+73.5	?	?	0	-	68	8.8	7.7	8.8	0	0	
115	B+87.5	?	?	1	-	68	8.3	7.7	8.3	0	0	
116	B+76.5	?	?	0	-	76	20.1	8.4	20	0	0	
117	B+87.5	?	?	1	-	48	23	5.9	23.7	0	0	
118	B+73.5	?	?	0	-	65	14.2	7.4	14.2	0	0	
119	B+87.5	?	?	1	-	66	14.6	7.5	14.7	0	0	
120	B+80.5	?	?	0	-	82	13	8.6	12.9	0	0	
121	B+87.5	?	?	1	-	74	34	8.4	33.9	0	0	
122	B+83.5	?	?	0	-	92	18.8	9.3	18.7	0	0	
123	B+86.5	?	?	1	-	70	29.7	7.9	29.6	0	0	
124	B+72.5	?	?	0	-	67	24.5	7.7	24.5	0	0	
125	B+87.5	?	?	1	-	64	12.6	7.5	12.7	0	0	
126	B+77.5	?	?	0	-	76	7.4	8.1	7.4	0	0	
127	B+87.5	?	?	1	-	66	17.7	7.7	17.8	0	0	
128	B+73.5	?	?	0	-	55	17.7	6.4	19.1	0	0	
129	B+87.5	?	?	1	-	62	26.3	7.1	26.4	0	0	
