# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 6, 2011 12:54:25 AM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cykill-transcript /Users/dleary/dev/cy-kill/util/cykill-vs-gnugo-100games-9x9-6f79d11d045ecf77e4c0ca46dd9991945201692d "engine_param random_seed 42"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
73	B+94.5	B+29.5	?	1	-	91	18.6	339.8	18.5	0	0	
74	B+80.5	B+16.5	?	0	10	94	27.9	344.5	27.8	0	0	
75	B+104.5	B+3.5	?	1	3	119	27.4	421.9	27.3	0	0	
76	B+80.5	B+16.5	?	0	10	94	27.9	345	27.8	0	0	
77	B+91.5	B+28.5	?	1	-	99	31.7	358.8	31.5	0	0	
78	B+58.5	W+4.5	?	0	30	96	20.5	342.5	20.4	0	0	
79	B+91.5	B+29.5	?	1	-	95	23.5	345.8	23.4	0	0	
80	B+80.5	B+16.5	?	0	10	94	28	345.4	27.8	0	0	
81	B+89.5	B+20.5	?	1	17	81	24.3	301.3	24.3	0	0	
82	B+78.5	B+32.5	?	0	32	100	36.7	354.9	36.6	0	0	
83	B+89.5	B+20.5	?	1	17	81	24.3	301.8	24.3	0	0	
84	B+58.5	W+4.5	?	0	30	96	20.5	341.8	20.4	0	0	
85	B+89.5	B+20.5	?	1	17	81	24.4	300.7	24.3	0	0	
86	B+2.5	B+3.5	?	0	46	85	32.8	298.7	32.6	0	0	
87	B+104.5	B+3.5	?	1	3	119	27.4	421.8	27.3	0	0	
88	B+76.5	B+5.5	?	0	28	90	16.6	318	16.5	0	0	
89	B+89.5	B+20.5	?	1	17	81	24.4	301.6	24.3	0	0	
90	B+2.5	B+3.5	?	0	46	85	32.8	298.8	32.6	0	0	
91	B+97.5	B+6.5	?	1	57	99	23.5	362.4	23.3	0	0	
92	B+79.5	B+14.5	?	0	0	104	23.9	373.2	23.8	0	0	
93	B+89.5	B+20.5	?	1	17	81	25.2	2411.3	24.4	0	0	
94	B+80.5	B+16.5	?	0	10	94	30.6	367.7	29.7	0	0	
95	B+91.5	B+29.5	?	1	79	95	24	362.8	23.6	0	0	
96	B+77.5	B+4.5	?	0	4	96	22.2	385.4	21.5	0	0	
97	B+93.5	B+18.5	?	1	1	95	26	351.8	25.7	0	0	
98	B+79.5	B+14.5	?	0	0	104	24.9	404.7	24.3	0	0	
99	B+88.5	B+21.5	?	1	9	97	13.3	357.6	13.2	0	0	
