# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 5, 2011 11:45:06 PM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cykill-transcript /Users/dleary/dev/cy-kill/util/cykill-vs-gnugo-100games-9x9-83d9b44a7ef1d7a012349026e981e05343612ad7-engine_param_max_playouts_10000 "engine_param random_seed 42" "engine_param max_playouts 10000"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
72	B+48.5	B+11.5	?	0	44	86	15.5	45.2	13.9	0	0	
73	B+88.5	B+25.5	?	1	1?	85	91.7	46.8	76.4	0	0	
74	B+82.5	W+4.5	?	0	8	96	43.4	51.8	37.2	0	0	
75	B+87.5	B+46.5	?	1	19	88	78	45.3	69.7	0	0	
76	B+73.5	B+17.5	?	0	20	85	70.1	43.7	61.8	0	0	
77	B+87.5	B+46.5	?	1	19	88	79.8	45.5	70.6	0	0	
78	B+48.5	B+11.5	?	0	44	86	15.1	43.1	13.8	0	0	
79	B+87.5	B+31.5	?	1	43	78	63.2	40	56.6	0	0	
80	B+80.5	B+3.5	?	0	54	90	16.1	44.2	14.6	0	0	
81	B+94.5	B+6.5	?	1	21	97	17.5	47.2	16.2	0	0	
82	B+73.5	B+11.5	?	0	0	85	62.2	40.4	57.9	0	0	
83	B+94.5	B+6.5	?	1	21	97	16.2	42.7	15.6	0	0	
84	B+73.5	B+11.5	?	0	0	85	59.2	38.8	56.6	0	0	
85	B+89.5	B+36.5	?	1	-	95	43.3	42.9	41.3	0	0	
86	B+80.5	B+3.5	?	0	54	90	14.2	39.6	13.7	0	0	
87	B+87.5	B+46.5	?	1	19	88	68	39.6	64.8	0	0	
88	B+73.5	B+11.5	?	0	0	85	59.6	38.3	56.4	0	0	
89	B+90.5	B+19.5	?	1	7	99	38.9	44	37.2	0	0	
90	B+73.5	B+11.5	?	0	0	85	59.1	38.1	56.2	0	0	
91	B+90.5	B+19.5	?	1	7	99	38.6	43.7	37.2	0	0	
92	B+73.5	B+11.5	?	0	0	85	59.1	38.5	56.2	0	0	
93	B+88.5	B+25.5	?	1	73	85	73.5	38.6	70.2	0	0	
94	B+83.5	W+0.5	?	0	34	96	8.4	43.1	8.3	0	0	
95	B+93.5	B+18.5	?	1	17	93	13	42.9	12.6	0	0	
96	B+73.5	B+17.5	?	0	20	85	59.5	37.1	56.6	0	0	
97	B+95.5	B+35.5	?	1	-	127	49.4	54.6	47	0	0	
98	B+73.5	B+17.5	?	0	20	85	58.7	37.6	56.5	0	0	
99	B+96.5	B+16.5	?	1	69	103	27.7	45.5	26.5	0	0	
